지점번호,지점명,일시,평균기온(℃),평균최고기온(℃),최고기온(℃),최고기온일자,평균최저기온(℃),최저기온(℃),최저기온일자
108,서울,Aug-86,24.5,28.3,32.8,1986-08-01,21.2,18.2,1986-08-29
108,서울,Sep-86,19.9,24.7,31,1986-09-01,15.8,10.2,1986-09-24
108,서울,Oct-86,12.7,17.2,23.9,1986-10-07,8.8,-0.5,1986-10-31
108,서울,Nov-86,5.2,9.5,16.2,1986-11-23,1.2,-5.7,1986-11-26
108,서울,Dec-86,1.9,5.4,13.2,1986-12-13,-1.4,-9.7,1986-12-26
108,서울,Jan-87,-3,1,8.9,1987-01-22,-6.9,-15.1,1987-01-14
108,서울,Feb-87,-0.1,4,12.8,1987-02-09,-3.8,-10.6,1987-02-01
108,서울,Mar-87,4,8.6,17.5,1987-03-23,0.1,-7.6,1987-03-25
108,서울,Apr-87,10.8,16.3,24.7,1987-04-05,6,0.4,1987-04-01
108,서울,May-87,17,22.4,29,1987-05-31,12.1,5.8,1987-05-03
108,서울,Jun-87,22.4,27.1,31.6,1987-06-25,17.8,12,1987-06-08
108,서울,Jul-87,23.7,27.1,31.2,1987-07-20,20.9,18.3,1987-07-16
108,서울,Aug-87,24.4,28.1,31.6,1987-08-14,21.6,18.4,1987-08-07
108,서울,Sep-87,20.1,25.2,28.6,1987-09-03,15.6,6.3,1987-09-27
108,서울,Oct-87,15.5,20.6,27.3,1987-10-10,10.9,2.6,1987-10-22
108,서울,Nov-87,7.5,12,19,1987-11-11,3.3,-9.2,1987-11-29
108,서울,Dec-87,0.9,4.9,11.8,1987-12-28,-2.6,-10.6,1987-12-31
108,서울,Jan-88,-2.1,1.9,10.1,1988-01-14,-5.7,-12.1,1988-01-24
108,서울,Feb-88,-1.5,3.2,12.2,1988-02-27,-5.3,-12.9,1988-02-03
108,서울,Mar-88,4.3,8.8,16.1,1988-03-30,0.1,-6.8,1988-03-07
108,서울,Apr-88,11.3,16.6,23.8,1988-04-17,6.7,3.2,1988-04-06
108,서울,May-88,17.9,23.4,31.7,1988-05-20,13,9.1,1988-05-02
108,서울,Jun-88,22.3,27.3,32.8,1988-06-26,18.2,13.9,1988-06-04
108,서울,Jul-88,24.4,27.8,31.6,1988-07-01,21.6,19,1988-07-29
108,서울,Aug-88,26.4,31,36.6,1988-08-10,22.8,18.4,1988-08-29
108,서울,Sep-88,21.4,26.5,30.8,1988-09-07,16.9,11,1988-09-27
108,서울,Oct-88,15,20.6,25.6,1988-10-04,9.8,2.2,1988-10-31
108,서울,Nov-88,5.5,10.6,17.9,1988-11-08,1.2,-5.6,1988-11-26
108,서울,Dec-88,0.1,4.3,13.9,1988-12-07,-3.7,-12.2,1988-12-16
108,서울,Jan-89,0.8,3.9,11.2,1989-01-07,-2.3,-11.2,1989-01-28
108,서울,Feb-89,2.4,7.1,15.4,1989-02-16,-1.3,-8.2,1989-02-03
108,서울,Mar-89,6.1,10.7,16.1,1989-03-19,2.3,-5,1989-03-08
108,서울,Apr-89,14.3,20.5,29.4,1989-04-21,8.8,3.7,1989-04-02
108,서울,May-89,17.9,23.4,29.6,1989-05-06,13.3,8.4,1989-05-15
108,서울,Jun-89,21.2,26.2,31.9,1989-06-23,16.9,12.8,1989-06-19
108,서울,Jul-89,24.5,28.5,33.3,1989-07-31,21.2,17.3,1989-07-02
108,서울,Aug-89,25.5,29.7,35.3,1989-08-05,21.7,17.4,1989-08-29
108,서울,Sep-89,20.7,25.1,29.5,1989-09-07,16.9,10.3,1989-09-20
108,서울,Oct-89,13.6,18.8,23.7,1989-10-01,9,1.9,1989-10-18
108,서울,Nov-89,7.1,11.2,17.4,1989-11-05,3.5,-6.3,1989-11-29
108,서울,Dec-89,1.4,4.9,14.7,1989-12-03,-1.9,-8.7,1989-12-31
108,서울,Jan-90,-3.2,0.2,7.8,1990-01-09,-6.6,-17.1,1990-01-25
108,서울,Feb-90,2.7,5.8,12.9,1990-02-28,-0.1,-5.2,1990-02-13
108,서울,Mar-90,7.2,11.5,18.8,1990-03-21,3.6,-1.3,1990-03-08
108,서울,Apr-90,11.3,16.3,26.3,1990-04-11,6.7,1.6,1990-04-04
108,서울,May-90,16.2,21,27.1,1990-05-09,12.2,7.2,1990-05-05
108,서울,Jun-90,20.7,24.6,29.4,1990-06-17,17.4,13.4,1990-06-01
108,서울,Jul-90,24.9,28.4,34.2,1990-07-29,22,16.7,1990-07-01
108,서울,Aug-90,26.4,30.9,35.5,1990-08-07,22.8,18.5,1990-08-17
108,서울,Sep-90,21.1,25.7,31.1,1990-09-02,17,10.2,1990-09-19
108,서울,Oct-90,15.4,21.3,27.1,1990-10-06,10.3,6.1,1990-10-18
108,서울,Nov-90,10,14.6,21.9,1990-11-04,5.8,-4.9,1990-11-21
108,서울,Dec-90,0.8,4.8,13.8,1990-12-08,-3,-12.9,1990-12-27
